1606144126.736533,1
1606144126.859100,3
1606144126.962454,4
1606144127.124178,4
1606144127.227190,5
1606144127.330989,3
1606144127.434572,4
1606144127.538554,3
1606144127.641476,3
1606144127.745365,4
1606144127.849971,3
1606144127.953012,4
1606144128.057077,2
1606144128.159942,5
1606144128.304637,2
1606144128.408355,1
1606144128.518047,3
1606144128.621458,2
1606144128.739251,4
1606144128.843022,2
1606144128.955434,3
1606144129.074582,4
1606144129.200550,2
1606144129.319001,2
1606144129.422876,4
1606144129.531266,3
1606144129.635510,1
1606144129.740870,3
1606144129.853762,4
1606144129.961459,3
1606144130.069123,5
1606144130.173541,2
1606144130.276848,4
1606144130.381337,4
1606144130.495534,3
1606144130.604598,4
1606144130.745601,4
1606144130.851229,3
1606144130.961198,3
1606144131.073857,2
1606144131.207869,4
1606144131.339595,1
1606144131.443529,3
1606144131.562046,3
1606144131.673588,3
1606144131.777562,2
1606144131.881425,2
1606144131.985934,3
1606144132.091639,1
1606144132.195007,2
1606144132.324845,3
1606144132.436788,2
1606144132.540222,5
1606144132.644026,3
1606144132.776342,1
1606144132.889162,3
1606144133.001582,1
1606144133.134762,3
1606144133.247044,4
1606144133.353830,5
1606144133.458315,2
1606144133.561671,5
1606144133.668640,2
1606144133.790429,3
1606144133.894246,5
1606144133.997890,4
1606144134.118175,1
1606144134.223335,2
1606144134.337638,4
1606144134.449779,4
1606144134.555857,0
1606144134.666826,4
1606144134.774812,4
1606144134.895287,2
1606144135.007488,1
1606144135.112692,4
1606144135.238197,4
1606144135.366991,4
1606144135.471441,5
1606144135.580513,3
1606144135.685471,4
1606144135.790938,4
1606144135.894206,4
1606144136.016791,4
1606144136.141382,1
1606144136.249389,3
1606144136.384964,2
1606144136.490722,4
1606144136.611859,2
1606144136.716133,4
1606144136.820611,3
1606144136.924629,1
1606144137.028096,4
1606144137.138693,4
1606144137.241986,3
1606144137.347092,4
1606144137.461631,2
1606144137.593239,4
1606144137.701350,2
1606144137.821242,4
1606144137.936138,3
1606144138.066382,5
1606144138.187718,1
1606144138.316898,4
1606144138.422007,2
1606144138.549389,4
1606144138.680318,2
1606144138.795429,4
1606144138.928333,3
1606144139.032240,5
1606144139.136758,3
1606144139.240633,2
1606144139.343585,4
1606144139.446919,4
1606144139.584199,4
1606144139.719280,1
1606144139.834778,3
1606144139.945958,1
1606144140.061850,4
1606144140.168417,3
1606144140.273453,3
1606144140.390542,2
1606144140.508082,1
1606144140.612563,3
1606144140.719224,1
1606144140.822819,4
1606144140.927784,5
1606144141.031547,1
1606144141.137405,2
1606144141.260799,5
1606144141.365585,1
1606144141.470644,4
1606144141.589388,3
1606144141.715522,2
1606144141.837629,3
1606144141.942698,3
1606144142.046707,4
1606144142.159329,1
1606144142.268268,3
1606144142.380199,3
1606144142.483744,3
1606144142.587924,2
1606144142.691443,4
1606144142.795036,4
1606144142.908172,2
1606144143.042894,4
1606144143.159495,3
1606144143.265668,4
1606144143.369125,2
1606144143.472374,3
1606144143.576069,3
1606144143.690863,4
1606144143.821777,3
1606144143.944206,2
1606144144.054971,1
1606144144.195351,3
1606144144.300611,2
1606144144.405342,2
1606144144.524008,3
1606144144.650276,4
1606144144.763411,4
1606144144.876513,4
1606144144.988832,2
1606144145.106207,3
1606144145.210215,2
1606144145.313889,4
1606144145.423244,2
1606144145.536625,4
1606144145.644839,1
1606144145.774063,3
